feature_ids	NP_10m_2_trimm_paired_expression	NP_10m_3_trimm_paired_expression	NP_10m_4_trimm_paired_expression	N_10m_2_trimm_paired_expression	N_10m_4_trimm_paired_expression	N_10m_3_trimm_paired_expression	NP_1hr_1_trimm_paired_expression	NP_1hr_2_trimm_paired_expression	NP_1hr_3_trimm_paired_expression	N_1hr_2_trimm_paired_expression	N_1hr_3_trimm_paired_expression	N_1hr_4_trimm_paired_expression
3816_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3817_gene	0.6378713509710673	0.4989853937137733	0.8172435999624955	1.275755622901015	1.46289372219002	1.683383576217713	0.39948098429212225	1.1352755409747155	0.34803127121822675	1.002914161393921	0.8415534880251493	1.2816286110253363
3818_gene	4.617149683940046	4.510629389757592	4.873951758534214	5.151217416759833	5.629601389528923	5.651031739452735	4.74818192062396	4.801949332522753	4.1284366566361035	5.400477657408464	6.0032660887315705	5.1336657960075875
3819_gene	2.8593873371128686	2.384642976286817	2.72702456994995	3.6604878625873347	3.691477804472754	4.122194542087787	2.7380578244065585	3.491344374272979	2.3593677033480405	3.332655578987319	3.3513518826803024	3.5718949959738833
381_gene	1.9724528636872016	1.4014642909694617	1.5959243445667652	1.4967798164706918	1.716410236151307	1.4303405014639008	1.3861622135858893	2.690273284383775	1.3343395588571823	1.6332096690405196	1.393728431937224	1.481744713261024
3820_gene	1.4278286840552055	1.1648959174055424	1.9145533488950883	1.856687520471382	1.8516104139699274	1.5703522396978913	1.5391163452495278	1.9845847887363515	1.2989181379388124	1.4609525766970268	1.1556105606989886	1.68789693241711
3821_gene	0.15695748479519386	0.0	0.346675532529395	0.3617798473592642	0.24997919007252473	0.8070801490263834	0.31169172537334733	0.38190398395854985	0.0	0.2687039357736631	1.0264389328788321	0.36999378129996435
3822_gene	0.14368196332633515	0.08845894388428512	0.2991329368488415	0.048941315431389354	0.08710359754080609	0.03652426325115538	0.5096730310225978	0.38306258887550515	0.4861055338973659	0.21563728213262076	0.0	0.23005405440229504
3823_gene	0.6626717587963682	0.0	0.0	0.0	0.22210355527106979	0.0	0.12083370863569277	0.6900717838938321	1.02553883291152	0.05674350180652508	0.10528125235140065	0.32153139216456667
3824_gene	2.425432774132034	1.8677126723183644	2.9657761902671544	3.4013865997403556	3.2281295370265335	3.3928873586130144	3.8506996741582062	4.3197608655168835	3.869829247335511	3.176824469759599	3.3495211886765928	3.9133654060855703
3825_gene	0.0	0.0	0.0	0.09542938622098929	0.0	0.0	0.0	0.0	0.0	0.1132211192060611	0.13793584683277868	0.0
