feature_ids	NP_10m_2_trimm_paired_expression	NP_10m_3_trimm_paired_expression	NP_10m_4_trimm_paired_expression	N_10m_2_trimm_paired_expression	N_10m_4_trimm_paired_expression	N_10m_3_trimm_paired_expression	NP_1hr_1_trimm_paired_expression	NP_1hr_2_trimm_paired_expression	NP_1hr_3_trimm_paired_expression	N_1hr_2_trimm_paired_expression	N_1hr_3_trimm_paired_expression	N_1hr_4_trimm_paired_expression
3799_gene	3.448091123603526	2.7724695089046416	3.368384510427211	3.095099738962571	3.7315494093307233	2.9602748247598076	2.2890403218292605	2.997790986260676	2.0625127342922838	2.2234067945069182	2.960969615275004	3.1273470232735336
379_gene	2.540368554261194	2.7920738370472873	2.714956961851964	2.0307379286315093	2.6185797867921785	2.616829342586717	2.1599484936778817	2.292127382812152	2.118472691662404	2.260742909700282	1.9361746947553018	1.8879712675063907
37_gene	3.7001465993195928	3.424488811655727	3.6694743625253032	3.7071053058715946	3.5171350708397835	4.088788747435729	3.4119003317851035	3.274704168981437	2.7917755293354434	4.187515902582935	3.803303923004331	3.770890134682977
3800_gene	10.188686328791556	9.072018902183892	10.135195891566289	9.46583179139332	9.981022038510282	9.263775231105425	9.663513588116544	10.419843066273758	9.308595533987488	9.087809030608922	9.88381294290792	10.063879878841394
3801_gene	6.980296237244135	5.709354358861889	7.084351339768368	6.198060395922687	6.924792305733823	6.460077506316909	5.2969301887971785	6.583992653682313	4.72594418818559	5.282677540967177	6.42072983670623	6.633995840557867
3802_gene	3.4583379036335726	3.5309383213228753	3.613892281601442	3.7017754790877695	4.188411211444296	4.1315076678325955	3.6364698741394488	4.156018579677307	3.7180635753858287	3.7687483744391264	3.703098594933877	3.750687962285632
3803_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3804_gene	0.0847813509677134	0.0	0.5107310696023705	0.2749832011037687	0.46793884749197595	0.2154437707268728	0.5641908377572887	0.561750388949956	0.0	0.777045539480888	1.023960024543509	1.5495770127112853
3805_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3806_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3807_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3808_gene	0.7344204561975346	0.7382905337856797	0.7165168665317142	1.36466991596814	1.1147934399081687	1.592664650813096	0.6002925928275471	0.8719319418974053	0.38087348920464353	1.6610298966920272	0.6645592966248091	1.5150059164337297
3809_gene	7.1963144095685205	7.003064566203485	7.267095843836705	6.230446209358756	6.208470887277063	6.225757296654709	7.35402441419304	7.945948948727244	7.079092466774733	6.1167671936745105	6.244028263051538	6.257510419416796
380_gene	4.91760928857147	4.0712957082462085	4.916294624078053	4.927828488110543	5.616976950088626	5.762023295439525	4.140412783150901	4.9487003563813525	4.150831293584804	4.879620544788507	5.234228490208238	5.848841061933353
3810_gene	0.3638046582461902	0.43850471521990014	0.6184773619312967	0.7854852680500476	0.6654755462515289	1.125693416569195	0.585948005656579	0.8260533863496875	0.6218844864211286	0.5410092376696511	0.9099320510067181	0.612571422615269
3811_gene	4.117356518111358	4.169675313444944	3.8153579835790494	3.4662897339927303	3.5538997542060384	3.4097170501932306	4.16635111043559	3.8333403684437553	3.6343224763557114	3.921455659286463	3.8596869430850815	3.0313907848969674
3812_gene	2.398926840600173	1.8511961397093908	2.016096189317969	2.262507726018955	2.403508242369486	2.293597965915735	1.4189519862791744	2.541496749904125	1.5629032561776046	1.8163244521542476	2.1908796723653277	1.8698046972587368
3813_gene	3.5659184565324322	2.896197629006989	3.684296984435863	3.416119700659795	3.3262010827776036	3.4572999709584993	2.703004324710954	2.6705287906748625	2.3125917011067663	2.3640347531271817	3.2918149669053114	3.1211973017302603
3814_gene	1.077462463332926	0.9012843685253147	1.6697152839147147	1.078705464720844	1.4072265607959198	1.7642561218464723	0.43091681567360407	1.3596448568280965	1.1097102410118032	0.782661014470838	1.0346453603280128	1.1317073446037942
3815_gene	2.7404365072412036	2.120520488265507	3.1011042563143727	2.3189790996639785	3.1181939161428907	2.731953921533126	1.6496430481868463	2.9004439095935477	1.6182123390941017	1.9592181909676558	2.616908131182704	2.508193086079031
3816_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3817_gene	0.8856282448038799	0.7161226025060182	1.0934026474383651	1.534832560727304	1.7528021028420497	1.9310528985018993	0.5716408938188945	1.3862227145553887	0.5209270720260308	1.3052707390198852	1.0748643528732214	1.5019430131490616
3818_gene	5.2049500489057765	5.125222841322946	5.430922099663338	5.557960967533632	6.054209973549106	5.991937577117232	5.337486215383478	5.220148174688386	4.770010388231228	5.94085931281101	6.479359663181756	5.4810916232078535
3819_gene	3.3974971438044084	2.9198228706333897	3.2269440469914508	4.048532036860495	4.09445000869774	4.451429000036802	3.2696026292012177	3.8894198055207125	2.9232454203328593	3.837715520233829	3.7931001525687855	3.901539248951941
381_gene	2.4482761764906216	1.8293020028937244	2.003482786659609	1.7793652129335145	2.030213876749092	1.6581474885227718	1.7905635408544995	3.0629198790635415	1.7762804704818715	2.0286586106597526	1.7110455087427479	1.7204325779893301
3820_gene	1.838641216358581	1.5519790822500106	2.356481057125576	2.170038488988411	2.1764073529455636	1.8096115922269733	1.9653343706597393	2.3187341862661417	1.734627255566312	1.8353812440097583	1.4411742975174784	1.9428312535543044
3821_gene	0.23290016291071944	0.0	0.4896765123326194	0.46521492393433217	0.3279942634639476	0.966097442452954	0.45157881205830874	0.49442175495956314	0.0	0.37851051348788706	1.2921014611995036	0.45868017231699715
3822_gene	0.21366207377708488	0.1353509915841569	0.4252433677546111	0.06497801666579317	0.11632749102493345	0.04629966602178204	0.7187618534134249	0.49586704796363457	0.7125051001972704	0.30596235201057204	0.0	0.288455427718255
3823_gene	0.917389743804361	0.0	0.0	0.0	0.29226581990281236	0.0	0.1803299373920299	0.8696985092438978	1.4064980309295765	0.08240829857168985	0.1450526411135019	0.4001312945891282
3824_gene	2.9381291855665808	2.3565216228693204	3.4771147740440376	3.7836712091710645	3.619886709646974	3.7102756997688444	4.423780846658491	4.732592765465321	4.505223655981771	3.676518255595925	3.7912169739503163	4.248700970272422
